Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Type,location_1,Zip Codes,Distance_to_McKeldin
1603,UMCP - MARYLAND FOOD COLLECTIVE,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1604,UMCP - MULLIGANS GRILL,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1605,UMCP - PANDA EXPRESS 802,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1606,UMCP - PANDA EXPRESS - SUSHI KIOSK 802,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1607,UMCP - SALADWORKS,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1608,UMCP - SBARRO'S,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1609,UMCP - SOUTH CAMPUS DINING HALL,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1610,UMCP - STAMP UNION CATERING KITCHEN,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1611,UMCP - SUBWAY,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1612,UMCP - TACO BELL ENGINEERING,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1613,UMCP - TACO BELL EXPRESS,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1614,UMCP - JALAPENO GRILL SEASONS 12 MONGOLIAN GRILL,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1616,UMUC - ARAMARK,College/University,Largo,MD,20774,1616 MCCORMICK DR,,Food Establishments,POINT (-76.846206 38.912614),8340,7.344328641459668
1617,UMUC - COLLEGE PARK MARRIOTT HOTEL & CONFERENCE CENTER,College/University,HYATTSVILLE,MD,20783,3501 UNIVERSITY BLVD,,Food Establishments,POINT (-76.955428 38.986874),15306,0.561413566560368
1618,UNFORGETTABLE FLAVORS,Carry-out,COLLEGE PARK,MD,20740,9348 CHERRY HILL RD,,Food Establishments,POINT (-76.938237 39.018861),15305,2.301017701094228
